0.028: 0xDECA1A12B113CC2E initial-position: x=0 y=1000 z=0 q=100
0.028: 0xDECAA9566A21919B initial-position: x=0 y=0 z=1000 q=100
0.028: 0xDECAB8F74901D633 initial-position: x=1000 y=0 z=0 q=100
0.028: 0xDECAF57F6B829325 initial-position: x=0 y=0 z=0 q=100
71.101: started location data observation of E1:FA:B6:92:E7:D8
75.844: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=4398, quality=100}, CC2E distance=Distance{length=4501, quality=100}, D633 distance=Distance{length=1854, quality=100}, 919B distance=Distance{length=582, quality=100}
75.944: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2304, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=2993, quality=100}, 919B distance=Distance{length=601, quality=100}
76.042: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=4436, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=1934, quality=100}, 919B distance=Distance{length=653, quality=100}
76.145: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2220, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=1962, quality=100}, 919B distance=Distance{length=563, quality=100}
76.257: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4431, quality=100}, D633 distance=Distance{length=4070, quality=100}, 919B distance=Distance{length=582, quality=100}
76.341: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2177, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=3007, quality=100}, 919B distance=Distance{length=620, quality=100}
76.446: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2210, quality=100}, CC2E distance=Distance{length=4478, quality=100}, D633 distance=Distance{length=1901, quality=100}, 919B distance=Distance{length=648, quality=100}
76.557: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2177, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=3007, quality=100}, 919B distance=Distance{length=629, quality=100}
76.638: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2177, quality=100}, CC2E distance=Distance{length=4506, quality=100}, D633 distance=Distance{length=1864, quality=100}, 919B distance=Distance{length=587, quality=100}
76.737: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2252, quality=100}, CC2E distance=Distance{length=4426, quality=100}, D633 distance=Distance{length=4061, quality=100}, 919B distance=Distance{length=596, quality=100}
76.853: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2224, quality=100}, CC2E distance=Distance{length=4426, quality=100}, D633 distance=Distance{length=1854, quality=100}, 919B distance=Distance{length=535, quality=100}
76.936: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2210, quality=100}, CC2E distance=Distance{length=4483, quality=100}, D633 distance=Distance{length=2927, quality=100}, 919B distance=Distance{length=667, quality=100}
77.037: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2266, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=1911, quality=100}, 919B distance=Distance{length=554, quality=100}
77.150: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2257, quality=100}, CC2E distance=Distance{length=4492, quality=100}, D633 distance=Distance{length=1840, quality=100}, 919B distance=Distance{length=592, quality=100}
77.235: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2220, quality=100}, CC2E distance=Distance{length=4478, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=592, quality=100}
77.354: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2262, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=1864, quality=100}, 919B distance=Distance{length=615, quality=100}
77.448: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2238, quality=100}, CC2E distance=Distance{length=4497, quality=100}, D633 distance=Distance{length=1976, quality=100}, 919B distance=Distance{length=592, quality=100}
77.548: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2173, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=1943, quality=100}, 919B distance=Distance{length=587, quality=100}
77.645: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2248, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=1887, quality=100}, 919B distance=Distance{length=624, quality=100}
77.746: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2205, quality=100}, CC2E distance=Distance{length=4520, quality=100}, D633 distance=Distance{length=1897, quality=100}, 919B distance=Distance{length=540, quality=100}
77.850: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2191, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=1934, quality=100}, 919B distance=Distance{length=615, quality=100}
77.944: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2243, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=1906, quality=100}, 919B distance=Distance{length=563, quality=100}
78.043: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2248, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=1925, quality=100}, 919B distance=Distance{length=568, quality=100}
78.137: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2220, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=1873, quality=100}, 919B distance=Distance{length=554, quality=100}
78.285: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2229, quality=100}, CC2E distance=Distance{length=4483, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=620, quality=100}
78.345: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2201, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=1892, quality=100}, 919B distance=Distance{length=568, quality=100}
78.444: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2154, quality=100}, CC2E distance=Distance{length=4445, quality=100}, D633 distance=Distance{length=2998, quality=100}, 919B distance=Distance{length=615, quality=100}
78.558: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2285, quality=100}, CC2E distance=Distance{length=4497, quality=100}, D633 distance=Distance{length=2918, quality=100}, 919B distance=Distance{length=549, quality=100}
78.657: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2182, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=1878, quality=100}, 919B distance=Distance{length=624, quality=100}
78.755: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2238, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=4075, quality=100}, 919B distance=Distance{length=620, quality=100}
78.838: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2210, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=2969, quality=100}, 919B distance=Distance{length=690, quality=100}
78.956: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2243, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=4080, quality=100}, 919B distance=Distance{length=615, quality=100}
79.037: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2248, quality=100}, CC2E distance=Distance{length=4515, quality=100}, D633 distance=Distance{length=4066, quality=100}, 919B distance=Distance{length=667, quality=100}
79.137: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2313, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=4075, quality=100}, 919B distance=Distance{length=615, quality=100}
79.252: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2281, quality=100}, CC2E distance=Distance{length=4492, quality=100}, D633 distance=Distance{length=3203, quality=100}, 919B distance=Distance{length=596, quality=100}
79.334: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2271, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=3208, quality=100}, 919B distance=Distance{length=592, quality=100}
79.450: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2252, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=3203, quality=100}, 919B distance=Distance{length=563, quality=100}
79.567: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2257, quality=100}, CC2E distance=Distance{length=4436, quality=100}, D633 distance=Distance{length=4075, quality=100}, 919B distance=Distance{length=643, quality=100}
79.632: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2248, quality=100}, CC2E distance=Distance{length=4431, quality=100}, D633 distance=Distance{length=3227, quality=100}, 919B distance=Distance{length=573, quality=100}
79.748: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2295, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=3152, quality=100}, 919B distance=Distance{length=578, quality=100}
79.848: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2281, quality=100}, CC2E distance=Distance{length=4445, quality=100}, D633 distance=Distance{length=3175, quality=100}, 919B distance=Distance{length=648, quality=100}
79.946: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2304, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=2960, quality=100}, 919B distance=Distance{length=639, quality=100}
80.045: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2262, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=1967, quality=100}, 919B distance=Distance{length=639, quality=100}
80.145: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4487, quality=100}, D633 distance=Distance{length=1990, quality=100}, 919B distance=Distance{length=606, quality=100}
80.327: stopped location data observation of E1:FA:B6:92:E7:D8, (9620)
96.436: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4483, quality=100}, D633 distance=Distance{length=4075, quality=100}, 919B distance=Distance{length=615, quality=100}
96.437: started location data observation of E1:FA:B6:92:E7:D8
96.548: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2187, quality=100}, CC2E distance=Distance{length=4478, quality=100}, D633 distance=Distance{length=4075, quality=100}, 919B distance=Distance{length=596, quality=100}
96.645: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4464, quality=100}, D633 distance=Distance{length=4084, quality=100}, 919B distance=Distance{length=648, quality=100}
96.746: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2140, quality=100}, CC2E distance=Distance{length=4426, quality=100}, D633 distance=Distance{length=4094, quality=100}, 919B distance=Distance{length=606, quality=100}
96.846: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=3030, quality=100}, 919B distance=Distance{length=606, quality=100}
96.942: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2177, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=4038, quality=100}, 919B distance=Distance{length=643, quality=100}
97.042: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4454, quality=100}, D633 distance=Distance{length=2960, quality=100}, 919B distance=Distance{length=657, quality=100}
97.203: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2238, quality=100}, CC2E distance=Distance{length=4497, quality=100}, D633 distance=Distance{length=1864, quality=100}, 919B distance=Distance{length=634, quality=100}
97.269: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=4089, quality=100}, 919B distance=Distance{length=582, quality=100}
97.334: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2182, quality=100}, CC2E distance=Distance{length=4445, quality=100}, D633 distance=Distance{length=4042, quality=100}, 919B distance=Distance{length=578, quality=100}
97.447: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2205, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=4117, quality=100}, 919B distance=Distance{length=639, quality=100}
97.556: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2234, quality=100}, CC2E distance=Distance{length=4450, quality=100}, D633 distance=Distance{length=4099, quality=100}, 919B distance=Distance{length=648, quality=100}
97.638: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2215, quality=100}, CC2E distance=Distance{length=4468, quality=100}, D633 distance=Distance{length=4052, quality=100}, 919B distance=Distance{length=615, quality=100}
97.736: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2238, quality=100}, CC2E distance=Distance{length=4459, quality=100}, D633 distance=Distance{length=4122, quality=100}, 919B distance=Distance{length=606, quality=100}
97.852: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2121, quality=100}, CC2E distance=Distance{length=4440, quality=100}, D633 distance=Distance{length=4099, quality=100}, 919B distance=Distance{length=582, quality=100}
97.935: 0xâ€¦9620 location data: distances: 9325 distance=Distance{length=2196, quality=100}, CC2E distance=Distance{length=4473, quality=100}, D633 distance=Distance{length=4084, quality=100}, 919B distance=Distance{length=606, quality=100}
